2024-01-31 09:56:39,493 INFO    MainThread:1948 [wandb_setup.py:_flush():76] Current SDK version is 0.16.2
2024-01-31 09:56:39,494 INFO    MainThread:1948 [wandb_setup.py:_flush():76] Configure stats pid to 1948
2024-01-31 09:56:39,494 INFO    MainThread:1948 [wandb_setup.py:_flush():76] Loading settings from C:\Users\sevitha\.config\wandb\settings
2024-01-31 09:56:39,494 INFO    MainThread:1948 [wandb_setup.py:_flush():76] Loading settings from F:\IIT_final_yr\Myproject\FypModel\pythonProject8\wandb\settings
2024-01-31 09:56:39,494 INFO    MainThread:1948 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-01-31 09:56:39,494 INFO    MainThread:1948 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-01-31 09:56:39,494 INFO    MainThread:1948 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program_abspath': 'F:\\IIT_final_yr\\Myproject\\FypModel\\pythonProject8\\main.py', 'program': 'F:\\IIT_final_yr\\Myproject\\FypModel\\pythonProject8\\main.py'}
2024-01-31 09:56:39,495 INFO    MainThread:1948 [wandb_init.py:_log_setup():526] Logging user logs to F:\IIT_final_yr\Myproject\FypModel\pythonProject8\wandb\run-20240131_095639-m99d9omm\logs\debug.log
2024-01-31 09:56:39,495 INFO    MainThread:1948 [wandb_init.py:_log_setup():527] Logging internal logs to F:\IIT_final_yr\Myproject\FypModel\pythonProject8\wandb\run-20240131_095639-m99d9omm\logs\debug-internal.log
2024-01-31 09:56:39,495 INFO    MainThread:1948 [wandb_init.py:init():566] calling init triggers
2024-01-31 09:56:39,495 INFO    MainThread:1948 [wandb_init.py:init():573] wandb.init called with sweep_config: {}
config: {}
2024-01-31 09:56:39,495 INFO    MainThread:1948 [wandb_init.py:init():616] starting backend
2024-01-31 09:56:39,495 INFO    MainThread:1948 [wandb_init.py:init():620] setting up manager
2024-01-31 09:56:39,497 INFO    MainThread:1948 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn, using: spawn
2024-01-31 09:56:39,501 INFO    MainThread:1948 [wandb_init.py:init():628] backend started and connected
2024-01-31 09:56:39,503 INFO    MainThread:1948 [wandb_init.py:init():720] updated telemetry
2024-01-31 09:56:39,565 INFO    MainThread:1948 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-01-31 09:56:42,358 INFO    MainThread:1948 [wandb_run.py:_on_init():2254] communicating current version
2024-01-31 09:56:44,126 INFO    MainThread:1948 [wandb_run.py:_on_init():2263] got version response 
2024-01-31 09:56:44,127 INFO    MainThread:1948 [wandb_init.py:init():804] starting run threads in backend
2024-01-31 09:56:48,633 INFO    MainThread:1948 [wandb_run.py:_console_start():2233] atexit reg
2024-01-31 09:56:48,633 INFO    MainThread:1948 [wandb_run.py:_redirect():2088] redirect: wrap_raw
2024-01-31 09:56:48,633 INFO    MainThread:1948 [wandb_run.py:_redirect():2153] Wrapping output streams.
2024-01-31 09:56:48,633 INFO    MainThread:1948 [wandb_run.py:_redirect():2178] Redirects installed.
2024-01-31 09:56:48,634 INFO    MainThread:1948 [wandb_init.py:init():847] run started, returning control to user process
2024-01-31 09:57:04,728 WARNING MsgRouterThr:1948 [router.py:message_loop():77] message_loop has been closed
